Year,Argentina,Australia,Austria,Belgium,Brazil,Canada,China,Czech Rep.,Egypt,Finland,France,Germany,Hungary,India,Indonesia,Iran,Italy,Japan,Malaysia,Mexico,Poland,Portugal,Romania,Russia,Serbia,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Taiwan,Thailand,Turkey,UK,Ukraine,USA,Uzbekistan
1999,224733,281417,123586,917513,1107751,1626316,565366,348482,45416,33903,2784469,5309524,125889,533149,76715,119419,1410459,8100169,237998,993772,546843,186996,88313,943732,3816,126503,118132,214694,2361735,2281617,213895,266000,63538,222041,1786624,10136,5637949,44433
2000,238921,323649,115979,912233,1351998,1550500,604677,428224,39616,38468,2879810,5131918,134029,517957,257058,274985,1422284,8359434,280283,1279089,481689,178509,64181,969235,11091,181333,122949,230577,2602008,2366359,259959,263013,97129,297476,1641452,18124,5542217,32273
2001,169580,285870,131098,1058656,1501586,1274853,703521,456927,37006,41916,3181549,5301189,140401,654557,32237,316334,1271780,8117563,344686,1000715,335996,177357,56774,1021682,7489,181644,116082,270538,2471444,2211172,251035,195109,156066,175343,1492365,24995,4879119,32425
2002,111340,306876,132768,936903,1520285,1369042,1101696,441312,27422,41068,3292797,5123238,138239,703948,193492,439116,1125769,8618354,380000,960097,287534,182573,65266,980061,10271,225442,126661,276499,2651273,2266902,237975,231506,169321,204198,1629934,50393,5018777,22705
2003,109364,365611,118650,791703,1505139,1340175,2018875,436279,32581,19226,3220329,5145403,122338,907968,203196,516930,1026454,8478328,324911,774048,306847,165576,75706,1010436,12996,281160,110597,291249,2767716,2399374,280394,264837,251691,294116,1657558,103000,4510469,39196
2004,171400,337510,227244,857119,1862780,1335516,2480231,443065,34591,10051,3227416,5192101,118590,1178354,262752,707773,833578,8720385,364852,903313,523000,150781,98997,1110079,13266,223542,116609,300963,3122600,2402501,290383,299639,299439,447152,1647246,179098,4229625,66896
2005,182761,316414,230505,895788,2009494,1356198,3078153,599472,48034,21233,3112961,5350187,148533,1264000,233492,725000,725528,9016735,405000,989840,540000,137602,174538,1068145,12574,218349,138393,324875,3357094,2098168,288659,323819,277603,453663,1596296,196722,4321272,87512
2006,263120,270000,248059,881929,2092029,1389536,5233132,848922,59462,32417,2723196,5398508,187633,1473000,256285,800000,892502,9756515,377952,1097619,632300,143478,201663,1177918,9832,295391,115000,334482,3489136,2078639,288583,211306,298819,545682,1442085,274860,4366220,100000
2007,350735,283348,199969,789674,2391354,1342133,6381116,925060,68934,24000,2550869,5709139,287982,1713479,309208,882000,910860,9944637,347971,1209097,695000,134047,234103,1288652,8236,571071,174209,276018,3723482,2195780,316850,212685,315444,634883,1534567,380061,3924268,170000
2008,399236,285590,125836,680131,2545729,1195436,6737745,934046,72485,17519,2145935,5532030,342359,1846051,431423,940870,659221,9928143,484512,1217458,842000,132242,231056,1469429,9818,575776,180233,321124,3450478,1943049,252287,138714,401309,621567,1446619,400799,3776641,195038
2009,380067,188158,56620,524595,2575418,822267,10383831,976435,60249,10907,1819497,4964523,212773,2175220,352172,1170503,661100,6862161,447002,942876,818800,101680,279320,599265,16337,461340,202570,222981,3158417,1812688,128738,183986,313442,510931,999460,65646,2195588,110200
2010,508401,205334,86183,528996,2828273,968860,13897083,1069518,92249,6385,1924171,5552409,208571,2814584,496524,1367014,573169,8307382,522568,1390163,785000,114563,323587,1208362,17384,556941,201039,295394,3866206,1913513,177084,251490,554387,603394,1270444,75261,2731105,130400
2011,577233,189503,130343,562386,2534534,990483,14485326,1191968,53072,2540,1931030,5871918,200000,3053871,561863,1413276,485606,7158525,496440,1657080,740000,141779,310243,1738163,15050,639763,168955,312265,4221617,1819453,188969,288523,549770,639734,1343810,97585,2966133,146300
2012,497376,178480,123602,507204,2623704,1040298,15523658,1171774,36880,2900,1682814,5388456,215440,3285496,743501,871997,396817,8554219,509621,1810007,540000,115735,326556,1968789,10227,900000,126836,274873,4167089,1539680,162814,278043,945100,576660,1464906,69687,4105853,144980
2013,506539,185427,148320,449600,2742309,965191,18085213,1128473,25650,3330,1460000,5439904,220000,3138988,925111,538170,388465,8189323,540200,1771987,475000,109698,410959,1919636,10100,975000,89395,265257,4122604,1719700,161080,291037,1122780,633604,1509762,45758,4346958,133740
