Hotel,Overall,Comfort,Amenities,InHouseDining
Muri Beach Odyssey,94.3,94.5,90.8,97.7
Pattaya Resort,92.9,96.6,84.1,96.6
Sojourner’s Respite,92.8,99.9,100.0,88.4
Spa Carribe,91.2,88.5,94.7,97.0
Penang Resort and Spa,90.4,95.0,87.8,91.1
Mokihana H?kele,90.2,92.4,82.0,98.7
Theo’s of Cape Town,90.1,95.9,86.2,91.9
Cap d’Agde Resort,89.8,92.5,92.5,88.8
Spirit of Mykonos,89.3,94.6,85.8,90.7
Turismo del Mar,89.1,90.5,83.2,90.4
Hotel Iguana ,89.1,90.8,81.9,88.5
Sidi Abdel Rahman Palace,89.0,93.0,93.0,89.6
Sainte-Maxime Quarters,88.6,92.5,78.2,91.2
Rotorua Inn,87.1,93.0,91.6,73.5
Club Lapu-Lapu,87.1,90.9,74.9,89.6
Terracina Retreat,86.5,94.3,78.0,91.5
Hacienda Punta Barco,86.1,95.4,77.3,90.8
Rendezvous Kolocep,86.0,94.8,76.4,91.4
Cabo de Gata Vista,86.0,92.0,72.2,89.2
Sanya Deluxe,85.1,93.4,77.3,91.8
